input,label,formula_latex,context_text,problem_opt,answer_latex,prob_ans_latex,answer_opt,prob_ans_opt,problem_raw
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 5\,\frac{8}{29} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 5 8/29. Likely a conversion issue: bundling whole and fractional parts, then operating across them during multiplication. [SEP]",conv-a,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 5\,\frac{8}{29}","The problem is 5 12/17 x 4 8/12. The student response is 5 8/29. Likely a conversion issue: bundling whole and fractional parts, then operating across them during multiplication.",MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"5\,\frac{8}{29}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 5\,\frac{8}{29}",ADD INT 5 FRAC 8 29,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 5 FRAC 8 29,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{32}{51} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 26 32/51. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing multiplication correctly. [SEP]",conv-b,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{32}{51}",The problem is 5 12/17 x 4 8/12. The student response is 26 32/51. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing multiplication correctly.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"26\,\frac{32}{51}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{32}{51}",ADD INT 26 FRAC 32 51,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 26 FRAC 32 51,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{9}{1} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 9/1. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for multiplication. [SEP]",conv-c,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{9}{1}","The problem is 5 12/17 x 4 8/12. The student response is 9/1. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for multiplication.",MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,\frac{9}{1},"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{9}{1}",FRAC 9 1,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ FRAC 9 1,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 1\,\frac{12}{29} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 1 12/29. Conversion behavior present but not matching common patterns; representation changed before carrying out multiplication. [SEP]",conv-d,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 1\,\frac{12}{29}",The problem is 5 12/17 x 4 8/12. The student response is 1 12/29. Conversion behavior present but not matching common patterns; representation changed before carrying out multiplication.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"1\,\frac{12}{29}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 1\,\frac{12}{29}",ADD INT 1 FRAC 12 29,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 1 FRAC 12 29,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, -26\,\frac{32}{51} [SEP] The problem is 5 12/17 x 4 8/12. The student response is -26 32/51. Misapplied operation property: an additive-inverse transformation seems to have been introduced. [SEP]",po-a,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, -26\,\frac{32}{51}",The problem is 5 12/17 x 4 8/12. The student response is -26 32/51. Misapplied operation property: an additive-inverse transformation seems to have been introduced.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"-26\,\frac{32}{51}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, -26\,\frac{32}{51}",SUB INT 0 ADD INT 26 FRAC 32 51,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ SUB INT 0 ADD INT 26 FRAC 32 51,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{51}{1358} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 51/1358. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression. [SEP]",po-b,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{51}{1358}",The problem is 5 12/17 x 4 8/12. The student response is 51/1358. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,\frac{51}{1358},"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{51}{1358}",FRAC 51 1358,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ FRAC 51 1358,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 187\,\frac{9}{29} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 187 9/29. Misapplied operation property: a distributive-like rewrite over fractional parts appears to have been used for multiplication. [SEP]",po-c,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 187\,\frac{9}{29}",The problem is 5 12/17 x 4 8/12. The student response is 187 9/29. Misapplied operation property: a distributive-like rewrite over fractional parts appears to have been used for multiplication.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"187\,\frac{9}{29}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 187\,\frac{9}{29}",ADD INT 187 FRAC 9 29,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 187 FRAC 9 29,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 30\,\frac{3}{5} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 30 3/5. Other property-of-operation handling that does not follow the standard algorithm. [SEP]",po-d,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 30\,\frac{3}{5}",The problem is 5 12/17 x 4 8/12. The student response is 30 3/5. Other property-of-operation handling that does not follow the standard algorithm.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"30\,\frac{3}{5}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 30\,\frac{3}{5}",ADD INT 30 FRAC 3 5,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 30 FRAC 3 5,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 3\,\frac{10}{29} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 3 10/29. Denominator issue: operated across denominators or failed to establish a proper common denominator before multiplication. [SEP]",pf-a,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 3\,\frac{10}{29}",The problem is 5 12/17 x 4 8/12. The student response is 3 10/29. Denominator issue: operated across denominators or failed to establish a proper common denominator before multiplication.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"3\,\frac{10}{29}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 3\,\frac{10}{29}",ADD INT 3 FRAC 10 29,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 3 FRAC 10 29,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 12 3/4. Denominator issue: incorrectly chose one denominator as if common (or renamed fractions inconsistently) for multiplication. [SEP]",pf-b,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4}",The problem is 5 12/17 x 4 8/12. The student response is 12 3/4. Denominator issue: incorrectly chose one denominator as if common (or renamed fractions inconsistently) for multiplication.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"12\,\frac{3}{4}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4}",ADD INT 12 FRAC 3 4,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 12 FRAC 3 4,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 319\,\frac{9}{17} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 319 9/17. Numerator issue: operated on numerators in isolation from denominators. [SEP]",pf-c,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 319\,\frac{9}{17}",The problem is 5 12/17 x 4 8/12. The student response is 319 9/17. Numerator issue: operated on numerators in isolation from denominators.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"319\,\frac{9}{17}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 319\,\frac{9}{17}",ADD INT 319 FRAC 9 17,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 319 FRAC 9 17,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 12 3/4. Other numerator-only handling that breaks the fraction-computation procedure. [SEP]",pf-d,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4}",The problem is 5 12/17 x 4 8/12. The student response is 12 3/4. Other numerator-only handling that breaks the fraction-computation procedure.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"12\,\frac{3}{4}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 12\,\frac{3}{4}",ADD INT 12 FRAC 3 4,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 12 FRAC 3 4,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{41}{204} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 41/204. Used denominator product in a context of multiplication where equal denominators are required. [SEP]",pf-e,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{41}{204}",The problem is 5 12/17 x 4 8/12. The student response is 41/204. Used denominator product in a context of multiplication where equal denominators are required.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,\frac{41}{204},"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, \frac{41}{204}",FRAC 41 204,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ FRAC 41 204,5 12/17 x 4 8/12
"[CLS] 5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{11}{17} [SEP] The problem is 5 12/17 x 4 8/12. The student response is 26 11/17. Arithmetic slip: local integer/computation error likely occurred. [SEP]",a,"5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{11}{17}",The problem is 5 12/17 x 4 8/12. The student response is 26 11/17. Arithmetic slip: local integer/computation error likely occurred.,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12,"26\,\frac{11}{17}","5\,\frac{12}{17} \, \times \, 4\,\frac{8}{12} \,=\, 26\,\frac{11}{17}",ADD INT 26 FRAC 11 17,MUL ADD INT 5 FRAC 12 17 ADD INT 4 FRAC 8 12 EQ ADD INT 26 FRAC 11 17,5 12/17 x 4 8/12
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, 1\,\frac{11}{20} [SEP] The problem is 22/11 x 9/9. The student response is 1 11/20. Likely a conversion issue: bundling whole and fractional parts, then operating across them during multiplication. [SEP]",conv-a,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, 1\,\frac{11}{20}","The problem is 22/11 x 9/9. The student response is 1 11/20. Likely a conversion issue: bundling whole and fractional parts, then operating across them during multiplication.",MUL FRAC 22 11 FRAC 9 9,"1\,\frac{11}{20}","\frac{22}{11} \, \times \, \frac{9}{9} \,=\, 1\,\frac{11}{20}",ADD INT 1 FRAC 11 20,MUL FRAC 22 11 FRAC 9 9 EQ ADD INT 1 FRAC 11 20,22/11 x 9/9
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{2}{1} [SEP] The problem is 22/11 x 9/9. The student response is 2/1. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing multiplication correctly. [SEP]",conv-b,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{2}{1}",The problem is 22/11 x 9/9. The student response is 2/1. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing multiplication correctly.,MUL FRAC 22 11 FRAC 9 9,\frac{2}{1},"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{2}{1}",FRAC 2 1,MUL FRAC 22 11 FRAC 9 9 EQ FRAC 2 1,22/11 x 9/9
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, 2\,\frac{9}{11} [SEP] The problem is 22/11 x 9/9. The student response is 2 9/11. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for multiplication. [SEP]",conv-c,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, 2\,\frac{9}{11}","The problem is 22/11 x 9/9. The student response is 2 9/11. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for multiplication.",MUL FRAC 22 11 FRAC 9 9,"2\,\frac{9}{11}","\frac{22}{11} \, \times \, \frac{9}{9} \,=\, 2\,\frac{9}{11}",ADD INT 2 FRAC 9 11,MUL FRAC 22 11 FRAC 9 9 EQ ADD INT 2 FRAC 9 11,22/11 x 9/9
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{13}{20} [SEP] The problem is 22/11 x 9/9. The student response is 13/20. Conversion behavior present but not matching common patterns; representation changed before carrying out multiplication. [SEP]",conv-d,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{13}{20}",The problem is 22/11 x 9/9. The student response is 13/20. Conversion behavior present but not matching common patterns; representation changed before carrying out multiplication.,MUL FRAC 22 11 FRAC 9 9,\frac{13}{20},"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{13}{20}",FRAC 13 20,MUL FRAC 22 11 FRAC 9 9 EQ FRAC 13 20,22/11 x 9/9
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, -\frac{2}{1} [SEP] The problem is 22/11 x 9/9. The student response is -2/1. Misapplied operation property: an additive-inverse transformation seems to have been introduced. [SEP]",po-a,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, -\frac{2}{1}",The problem is 22/11 x 9/9. The student response is -2/1. Misapplied operation property: an additive-inverse transformation seems to have been introduced.,MUL FRAC 22 11 FRAC 9 9,-\frac{2}{1},"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, -\frac{2}{1}",FRAC -2 1,MUL FRAC 22 11 FRAC 9 9 EQ FRAC -2 1,22/11 x 9/9
"[CLS] \frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{1}{2} [SEP] The problem is 22/11 x 9/9. The student response is 1/2. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression. [SEP]",po-b,"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{1}{2}",The problem is 22/11 x 9/9. The student response is 1/2. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression.,MUL FRAC 22 11 FRAC 9 9,\frac{1}{2},"\frac{22}{11} \, \times \, \frac{9}{9} \,=\, \frac{1}{2}",FRAC 1 2,MUL FRAC 22 11 FRAC 9 9 EQ FRAC 1 2,22/11 x 9/9
