problem_latex,context_text,problem_opt,input_text,label,problem_raw,student_answer,facet_mech,answer_latex,prob_ans_latex,answer_opt,prob_ans_opt
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 2 18/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{18}{19} [SEP] The problem is 14/19 + 4/2. The student response is 2 18/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",pf-c,14/19 + 4/2,2 18/19,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation; mixing numerator and denominator operations  [MECH] Operates only on numerators detached from denominators.,"2\,\frac{18}{19}","\frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{18}{19}",MIX 2 FRAC 18 19,ADD FRAC 14 19 FRAC 4 2 EQ MIX 2 FRAC 18 19
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 9/1.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{9}{1} [SEP] The problem is 14/19 + 4/2. The student response is 9/1. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",pf-d,14/19 + 4/2,9/1,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation  [MECH] Other numerator-only handling.,\frac{9}{1},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{9}{1}",FRAC 9 1,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 9 1
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 5/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{5}{19} [SEP] The problem is 14/19 + 4/2. The student response is 5/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",pf-e,14/19 + 4/2,5/19,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators  [MECH] Uses denominator product in add/sub context.,\frac{5}{19},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{5}{19}",FRAC 5 19,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 5 19
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 2 15/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{15}{19} [SEP] The problem is 14/19 + 4/2. The student response is 2 15/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",a,14/19 + 4/2,2 15/19,[OFAM] Arithmetic [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] integer calculation slip  [MECH] Local integer slip.,"2\,\frac{15}{19}","\frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{15}{19}",MIX 2 FRAC 15 19,ADD FRAC 14 19 FRAC 4 2 EQ MIX 2 FRAC 15 19
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 2 10/13.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{10}{13} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 2 10/13. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",conv-a,13/8 ÷ 4 3/5,2 10/13,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,"2\,\frac{10}{13}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{10}{13}",MIX 2 FRAC 10 13,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 2 FRAC 10 13
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 2 3/5.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{3}{5} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 2 3/5. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",conv-b,13/8 ÷ 4 3/5,2 3/5,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,"2\,\frac{3}{5}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{3}{5}",MIX 2 FRAC 3 5,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 2 FRAC 3 5
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 4 1/2.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 4\,\frac{1}{2} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 4 1/2. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",conv-c,13/8 ÷ 4 3/5,4 1/2,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for; combining numerators without first aligning denominators  [MECH] Conversion linearizes mixed forms into whole×den+num.,"4\,\frac{1}{2}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 4\,\frac{1}{2}",MIX 4 FRAC 1 2,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 4 FRAC 1 2
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is -10/13.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{10}{13} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is -10/13. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",conv-d,13/8 ÷ 4 3/5,-10/13,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for  [MECH] Other conversion rewrite not required by the operation.,-\frac{10}{13},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{10}{13}",FRAC -10 13,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC -10 13
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is -65/184.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{65}{184} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is -65/184. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",po-a,13/8 ÷ 4 3/5,-65/184,[OFAM] Property of Operation [OSTR] two_fractions [PREC] direct_multiplication [TPIT] additive inverse used as a rewrite; changing representations not called for  [MECH] Adds a symmetric/additive-inverse transformation.,-\frac{65}{184},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{65}{184}",FRAC -65 184,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC -65 184
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 2 54/65.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{54}{65} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 2 54/65. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",po-b,13/8 ÷ 4 3/5,2 54/65,[OFAM] Property of Operation [OSTR] two_fractions [PREC] direct_multiplication [TPIT] reciprocal/inverse used as a rewrite; mixing numerator and denominator operations  [MECH] Applies a multiplicative-inverse transformation.,"2\,\frac{54}{65}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 2\,\frac{54}{65}",MIX 2 FRAC 54 65,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 2 FRAC 54 65
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 23/1.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{23}{1} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 23/1. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",po-c,13/8 ÷ 4 3/5,23/1,[OFAM] Property of Operation [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing denominators inconsistently; distributive rewrite across fractions  [MECH] Invokes distribution over fractional parts.,\frac{23}{1},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{23}{1}",FRAC 23 1,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC 23 1
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 12/1.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{12}{1} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 12/1. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",po-d,13/8 ÷ 4 3/5,12/1,[OFAM] Property of Operation [OSTR] two_fractions [PREC] direct_multiplication [TPIT] not applicable  [MECH] Other property-of-operation combination.,\frac{12}{1},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{12}{1}",FRAC 12 1,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC 12 1
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 1/1.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{1}{1} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 1/1. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",pf-a,13/8 ÷ 4 3/5,1/1,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] direct_multiplication [TPIT] operating across denominators; changing denominators inconsistently  [MECH] Operates directly on denominators when combining.,\frac{1}{1},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{1}{1}",FRAC 1 1,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC 1 1
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 7 1/5.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 7\,\frac{1}{5} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 7 1/5. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",pf-b,13/8 ÷ 4 3/5,7 1/5,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] direct_multiplication [TPIT] choosing denominator by one term/size; changing denominators inconsistently  [MECH] Chooses one denominator as if common.,"7\,\frac{1}{5}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 7\,\frac{1}{5}",MIX 7 FRAC 1 5,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 7 FRAC 1 5
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 37 3/8.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 37\,\frac{3}{8} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 37 3/8. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",pf-c,13/8 ÷ 4 3/5,37 3/8,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] direct_multiplication [TPIT] operating numerators in isolation; mixing numerator and denominator operations  [MECH] Operates only on numerators detached from denominators.,"37\,\frac{3}{8}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 37\,\frac{3}{8}",MIX 37 FRAC 3 8,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 37 FRAC 3 8
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 7 1/5.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 7\,\frac{1}{5} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 7 1/5. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",pf-d,13/8 ÷ 4 3/5,7 1/5,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] direct_multiplication [TPIT] operating numerators in isolation  [MECH] Other numerator-only handling.,"7\,\frac{1}{5}","\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, 7\,\frac{1}{5}",MIX 7 FRAC 1 5,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ MIX 7 FRAC 1 5
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is -1/4.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{1}{4} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is -1/4. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",pf-e,13/8 ÷ 4 3/5,-1/4,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] direct_multiplication [TPIT] combining numerators without first aligning denominators  [MECH] Uses denominator product in add/sub context.,-\frac{1}{4},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, -\frac{1}{4}",FRAC -1 4,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC -1 4
"\frac{13}{8} \, \div \, 4\,\frac{3}{5}",The problem is 13/8 ÷ 4 3/5. The student response is 33/92.,DIV FRAC 13 8 MIX 4 FRAC 3 5,"[CLS] \frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{33}{92} [SEP] The problem is 13/8 ÷ 4 3/5. The student response is 33/92. [SEP] DIV FRAC 13 8 MIX 4 FRAC 3 5 [SEP]",a,13/8 ÷ 4 3/5,33/92,[OFAM] Arithmetic [OSTR] two_fractions [PREC] direct_multiplication [TPIT] integer calculation slip  [MECH] Local integer slip.,\frac{33}{92},"\frac{13}{8} \, \div \, 4\,\frac{3}{5} \,=\, \frac{33}{92}",FRAC 33 92,DIV FRAC 13 8 MIX 4 FRAC 3 5 EQ FRAC 33 92
"4\,\frac{5}{9} \, \times \, \frac{3}{8}",The problem is 4 5/9 x 3/8. The student response is 2 10/17.,MUL MIX 4 FRAC 5 9 FRAC 3 8,"[CLS] 4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 2\,\frac{10}{17} [SEP] The problem is 4 5/9 x 3/8. The student response is 2 10/17. [SEP] MUL MIX 4 FRAC 5 9 FRAC 3 8 [SEP]",conv-a,4 5/9 x 3/8,2 10/17,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,"2\,\frac{10}{17}","4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 2\,\frac{10}{17}",MIX 2 FRAC 10 17,MUL MIX 4 FRAC 5 9 FRAC 3 8 EQ MIX 2 FRAC 10 17
"4\,\frac{5}{9} \, \times \, \frac{3}{8}",The problem is 4 5/9 x 3/8. The student response is 5 1/8.,MUL MIX 4 FRAC 5 9 FRAC 3 8,"[CLS] 4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 5\,\frac{1}{8} [SEP] The problem is 4 5/9 x 3/8. The student response is 5 1/8. [SEP] MUL MIX 4 FRAC 5 9 FRAC 3 8 [SEP]",conv-b,4 5/9 x 3/8,5 1/8,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,"5\,\frac{1}{8}","4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 5\,\frac{1}{8}",MIX 5 FRAC 1 8,MUL MIX 4 FRAC 5 9 FRAC 3 8 EQ MIX 5 FRAC 1 8
"4\,\frac{5}{9} \, \times \, \frac{3}{8}",The problem is 4 5/9 x 3/8. The student response is 4 8/9.,MUL MIX 4 FRAC 5 9 FRAC 3 8,"[CLS] 4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 4\,\frac{8}{9} [SEP] The problem is 4 5/9 x 3/8. The student response is 4 8/9. [SEP] MUL MIX 4 FRAC 5 9 FRAC 3 8 [SEP]",conv-c,4 5/9 x 3/8,4 8/9,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for; combining numerators without first aligning denominators  [MECH] Conversion linearizes mixed forms into whole×den+num.,"4\,\frac{8}{9}","4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 4\,\frac{8}{9}",MIX 4 FRAC 8 9,MUL MIX 4 FRAC 5 9 FRAC 3 8 EQ MIX 4 FRAC 8 9
"4\,\frac{5}{9} \, \times \, \frac{3}{8}",The problem is 4 5/9 x 3/8. The student response is 2 4/17.,MUL MIX 4 FRAC 5 9 FRAC 3 8,"[CLS] 4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 2\,\frac{4}{17} [SEP] The problem is 4 5/9 x 3/8. The student response is 2 4/17. [SEP] MUL MIX 4 FRAC 5 9 FRAC 3 8 [SEP]",conv-d,4 5/9 x 3/8,2 4/17,[OFAM] Conversion [OSTR] two_fractions [PREC] direct_multiplication [TPIT] changing representations not called for  [MECH] Other conversion rewrite not required by the operation.,"2\,\frac{4}{17}","4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, 2\,\frac{4}{17}",MIX 2 FRAC 4 17,MUL MIX 4 FRAC 5 9 FRAC 3 8 EQ MIX 2 FRAC 4 17
"4\,\frac{5}{9} \, \times \, \frac{3}{8}",The problem is 4 5/9 x 3/8. The student response is -1 17/24.,MUL MIX 4 FRAC 5 9 FRAC 3 8,"[CLS] 4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, -1\,\frac{17}{24} [SEP] The problem is 4 5/9 x 3/8. The student response is -1 17/24. [SEP] MUL MIX 4 FRAC 5 9 FRAC 3 8 [SEP]",po-a,4 5/9 x 3/8,-1 17/24,[OFAM] Property of Operation [OSTR] two_fractions [PREC] direct_multiplication [TPIT] additive inverse used as a rewrite; changing representations not called for  [MECH] Adds a symmetric/additive-inverse transformation.,"-1\,\frac{17}{24}","4\,\frac{5}{9} \, \times \, \frac{3}{8} \,=\, -1\,\frac{17}{24}",-MIX 1 FRAC 17 24,MUL MIX 4 FRAC 5 9 FRAC 3 8 EQ -MIX 1 FRAC 17 24
